Asset_Name,timestamp,Close
Bitcoin Cash,2018-01-01,2374.59
Bitcoin Cash,2018-01-02,2323.32
Bitcoin Cash,2018-01-03,2551.285
Bitcoin Cash,2018-01-04,2557.6467
Bitcoin Cash,2018-01-05,2354.4433
Bitcoin Cash,2018-01-06,2392.63
Bitcoin Cash,2018-01-07,2526.21
Bitcoin Cash,2018-01-08,2523.6
Bitcoin Cash,2018-01-09,2404.4967
Bitcoin Cash,2018-01-10,2376.5967
Bitcoin Cash,2018-01-11,2857.74
Bitcoin Cash,2018-01-12,2433.9975
Bitcoin Cash,2018-01-13,2599.03
Bitcoin Cash,2018-01-14,2661.618
Bitcoin Cash,2018-01-15,2522.26
Bitcoin Cash,2018-01-16,2394.828
Bitcoin Cash,2018-01-17,1768.3
Bitcoin Cash,2018-01-18,1747.046
Bitcoin Cash,2018-01-19,1708.812
Bitcoin Cash,2018-01-20,1760.936
Bitcoin Cash,2018-01-21,2025.584
Bitcoin Cash,2018-01-22,1779.74
Bitcoin Cash,2018-01-23,1610.812
Bitcoin Cash,2018-01-24,1615.456
Bitcoin Cash,2018-01-25,1648.576
Bitcoin Cash,2018-01-26,1630.985
Bitcoin Cash,2018-01-27,1592.442
Bitcoin Cash,2018-01-28,1630.4667
Bitcoin Cash,2018-01-29,1748.835
Bitcoin Cash,2018-01-30,1646.7375
Bitcoin Cash,2018-01-31,1462.05
Bitcoin Cash,2018-02-01,1481.522
Bitcoin Cash,2018-02-02,1276.3367
Bitcoin Cash,2018-02-03,1192.88
Bitcoin Cash,2018-02-04,1268.642
Bitcoin Cash,2018-02-05,1153.7425
Bitcoin Cash,2018-02-06,882.73
Bitcoin Cash,2018-02-07,968.51
Bitcoin Cash,2018-02-08,949.744
Bitcoin Cash,2018-02-09,1276.856
Bitcoin Cash,2018-02-10,1299.972
Bitcoin Cash,2018-02-11,1240.385
Bitcoin Cash,2018-02-12,1209.3
Bitcoin Cash,2018-02-13,1280.3667
Bitcoin Cash,2018-02-14,1220.7
Bitcoin Cash,2018-02-15,1352.9
Bitcoin Cash,2018-02-16,1356.3575
Bitcoin Cash,2018-02-17,1529.078
Bitcoin Cash,2018-02-18,1541.2775
Bitcoin Cash,2018-02-19,1450.36
Bitcoin Cash,2018-02-20,1520.8475
Bitcoin Cash,2018-02-21,1385.538
Bitcoin Cash,2018-02-22,1283.085
Bitcoin Cash,2018-02-23,1206.625
Bitcoin Cash,2018-02-24,1251.62
Bitcoin Cash,2018-02-25,1177.47
Bitcoin Cash,2018-02-26,1170.48
Bitcoin Cash,2018-02-27,1244.33
Bitcoin Cash,2018-02-28,1231.416
Bitcoin Cash,2018-03-01,1197.1433
Bitcoin Cash,2018-03-02,1281.2575
Bitcoin Cash,2018-03-03,1276.765
Bitcoin Cash,2018-03-04,1269.0433
Bitcoin Cash,2018-03-05,1285.0175
Bitcoin Cash,2018-03-06,1254.912
Bitcoin Cash,2018-03-07,1204.0975
Bitcoin Cash,2018-03-08,1091.542
Bitcoin Cash,2018-03-09,1030.3975
Bitcoin Cash,2018-03-10,1066.3475
Bitcoin Cash,2018-03-11,1001.1233
Bitcoin Cash,2018-03-12,1139.6633
Bitcoin Cash,2018-03-13,1047.7875
Bitcoin Cash,2018-03-14,1057.484
Bitcoin Cash,2018-03-15,943.7925
Bitcoin Cash,2018-03-16,939.61
Bitcoin Cash,2018-03-17,968.452
Bitcoin Cash,2018-03-18,941.704
Bitcoin Cash,2018-03-19,939.606
Bitcoin Cash,2018-03-20,989.0525
Bitcoin Cash,2018-03-21,1061.976
Bitcoin Cash,2018-03-22,1029.59
Bitcoin Cash,2018-03-23,1011.99
Bitcoin Cash,2018-03-24,1026.942
Bitcoin Cash,2018-03-25,970.4533
Bitcoin Cash,2018-03-26,971.1
Bitcoin Cash,2018-03-27,911.9833
Bitcoin Cash,2018-03-28,872.8525
Bitcoin Cash,2018-03-29,859.645
Bitcoin Cash,2018-03-30,709.0025
Bitcoin Cash,2018-03-31,696.4625
Bitcoin Cash,2018-04-01,687.35
Bitcoin Cash,2018-04-02,641.84
Bitcoin Cash,2018-04-03,662.526
Bitcoin Cash,2018-04-04,707.5325
Bitcoin Cash,2018-04-05,646.0433
Bitcoin Cash,2018-04-06,640.67
Bitcoin Cash,2018-04-07,609.1
Bitcoin Cash,2018-04-08,638.7267
Bitcoin Cash,2018-04-09,652.59
Bitcoin Cash,2018-04-10,637.1633
Bitcoin Cash,2018-04-11,649.615
Bitcoin Cash,2018-04-12,668.3525
Bitcoin Cash,2018-04-13,736.8133
Bitcoin Cash,2018-04-14,741.65
Bitcoin Cash,2018-04-15,736.5933
Bitcoin Cash,2018-04-16,780.3633
Bitcoin Cash,2018-04-17,768.23
Bitcoin Cash,2018-04-18,756.4033
Bitcoin Cash,2018-04-19,895.1775
Bitcoin Cash,2018-04-20,966.0775
Bitcoin Cash,2018-04-21,1126.19
Bitcoin Cash,2018-04-22,1153.9525
Bitcoin Cash,2018-04-23,1193.068
Bitcoin Cash,2018-04-24,1439.705
Bitcoin Cash,2018-04-25,1412.89
Bitcoin Cash,2018-04-26,1286.876
Bitcoin Cash,2018-04-27,1423.2425
Bitcoin Cash,2018-04-28,1329.525
Bitcoin Cash,2018-04-29,1390.36
Bitcoin Cash,2018-04-30,1442.43
Bitcoin Cash,2018-05-01,1346.105
Bitcoin Cash,2018-05-02,1352.15
Bitcoin Cash,2018-05-03,1456.25
Bitcoin Cash,2018-05-04,1505.1767
Bitcoin Cash,2018-05-05,1510.6267
Bitcoin Cash,2018-05-06,1752.45
Bitcoin Cash,2018-05-07,1754.802
Bitcoin Cash,2018-05-08,1649.5167
Bitcoin Cash,2018-05-09,1596.626
Bitcoin Cash,2018-05-10,1630.16
Bitcoin Cash,2018-05-11,1515.354
Bitcoin Cash,2018-05-12,1365.104
Bitcoin Cash,2018-05-13,1460.574
Bitcoin Cash,2018-05-14,1476.3975
Bitcoin Cash,2018-05-15,1414.68
Bitcoin Cash,2018-05-16,1337.0967
Bitcoin Cash,2018-05-17,1280.5425
Bitcoin Cash,2018-05-18,1192.16
Bitcoin Cash,2018-05-19,1203.2875
Bitcoin Cash,2018-05-20,1177.02
Bitcoin Cash,2018-05-21,1294.6375
Bitcoin Cash,2018-05-22,1229.6375
Bitcoin Cash,2018-05-23,1136.0175
Bitcoin Cash,2018-05-24,994.8725
Bitcoin Cash,2018-05-25,1073.2667
Bitcoin Cash,2018-05-26,1012.04
Bitcoin Cash,2018-05-27,1004.5475
Bitcoin Cash,2018-05-28,995.0533
Bitcoin Cash,2018-05-29,884.1775
Bitcoin Cash,2018-05-30,986.978
Bitcoin Cash,2018-05-31,982.995
Bitcoin Cash,2018-06-01,994.6433
Bitcoin Cash,2018-06-02,1004.684
Bitcoin Cash,2018-06-03,1084.1067
Bitcoin Cash,2018-06-04,1170.0933
Bitcoin Cash,2018-06-05,1098.75
Bitcoin Cash,2018-06-06,1152.53
Bitcoin Cash,2018-06-07,1128.9367
Bitcoin Cash,2018-06-08,1143.13
Bitcoin Cash,2018-06-09,1113.83
Bitcoin Cash,2018-06-10,1083.888
Bitcoin Cash,2018-06-11,931.464
Bitcoin Cash,2018-06-12,952.9233
Bitcoin Cash,2018-06-13,869.6567
Bitcoin Cash,2018-06-14,842.1833
Bitcoin Cash,2018-06-15,894.82
Bitcoin Cash,2018-06-16,842.4475
Bitcoin Cash,2018-06-17,850.085
Bitcoin Cash,2018-06-18,846.5933
Bitcoin Cash,2018-06-19,884.625
Bitcoin Cash,2018-06-20,906.58
Bitcoin Cash,2018-06-21,891.3333
Bitcoin Cash,2018-06-22,871.9533
Bitcoin Cash,2018-06-23,750.4767
Bitcoin Cash,2018-06-24,764.0575
Bitcoin Cash,2018-06-25,745.91
Bitcoin Cash,2018-06-26,754.58
Bitcoin Cash,2018-06-27,694.61
Bitcoin Cash,2018-06-28,713.2667
Bitcoin Cash,2018-06-29,659.2133
Bitcoin Cash,2018-06-30,717.0825
Bitcoin Cash,2018-07-01,748.9
Bitcoin Cash,2018-07-02,736.4475
Bitcoin Cash,2018-07-03,780.4367
Bitcoin Cash,2018-07-04,755.8625
Bitcoin Cash,2018-07-05,762.8275
Bitcoin Cash,2018-07-06,743.04
Bitcoin Cash,2018-07-07,732.47
Bitcoin Cash,2018-07-08,773.8125
Bitcoin Cash,2018-07-09,748.3367
Bitcoin Cash,2018-07-10,729.195
Bitcoin Cash,2018-07-11,686.0825
Bitcoin Cash,2018-07-12,705.7533
Bitcoin Cash,2018-07-13,687.74
Bitcoin Cash,2018-07-14,692.8967
Bitcoin Cash,2018-07-15,700.64
Bitcoin Cash,2018-07-16,723.395
Bitcoin Cash,2018-07-17,797.358
Bitcoin Cash,2018-07-18,852.8833
Bitcoin Cash,2018-07-19,824.6
Bitcoin Cash,2018-07-20,823.815
Bitcoin Cash,2018-07-21,764.52
Bitcoin Cash,2018-07-22,786.165
Bitcoin Cash,2018-07-23,784.218
Bitcoin Cash,2018-07-24,782.3033
Bitcoin Cash,2018-07-25,864.95
Bitcoin Cash,2018-07-26,830.74
Bitcoin Cash,2018-07-27,802.57
Bitcoin Cash,2018-07-28,820.92
Bitcoin Cash,2018-07-29,823.776
Bitcoin Cash,2018-07-30,830.3125
Bitcoin Cash,2018-07-31,814.1333
Bitcoin Cash,2018-08-01,776.816
Bitcoin Cash,2018-08-02,768.1267
Bitcoin Cash,2018-08-03,729.858
Bitcoin Cash,2018-08-04,724.51
Bitcoin Cash,2018-08-05,695.7667
Bitcoin Cash,2018-08-06,709.5467
Bitcoin Cash,2018-08-07,691.31
Bitcoin Cash,2018-08-08,657.03
Bitcoin Cash,2018-08-09,589.54
Bitcoin Cash,2018-08-10,609.36
Bitcoin Cash,2018-08-11,570.16
Bitcoin Cash,2018-08-12,563.73
Bitcoin Cash,2018-08-13,570.455
Bitcoin Cash,2018-08-14,530.77
Bitcoin Cash,2018-08-15,510.435
Bitcoin Cash,2018-08-16,510.404
Bitcoin Cash,2018-08-17,516.06
Bitcoin Cash,2018-08-18,602.456
Bitcoin Cash,2018-08-19,554.3275
Bitcoin Cash,2018-08-20,570.8167
Bitcoin Cash,2018-08-21,512.478
Bitcoin Cash,2018-08-22,536.8025
Bitcoin Cash,2018-08-23,518.5167
Bitcoin Cash,2018-08-24,530.36
Bitcoin Cash,2018-08-25,533.44
Bitcoin Cash,2018-08-26,536.06
Bitcoin Cash,2018-08-27,523.4367
Bitcoin Cash,2018-08-28,548.915
Bitcoin Cash,2018-08-29,565.1933
Bitcoin Cash,2018-08-30,554.1575
Bitcoin Cash,2018-08-31,538.615
Bitcoin Cash,2018-09-01,542.39
Bitcoin Cash,2018-09-02,618.3667
Bitcoin Cash,2018-09-03,651.9225
Bitcoin Cash,2018-09-04,627.885
Bitcoin Cash,2018-09-05,625.5575
Bitcoin Cash,2018-09-06,525.898
Bitcoin Cash,2018-09-07,517.772
Bitcoin Cash,2018-09-08,497.535
Bitcoin Cash,2018-09-09,473.8775
Bitcoin Cash,2018-09-10,480.598
Bitcoin Cash,2018-09-11,468.036
Bitcoin Cash,2018-09-12,439.1867
Bitcoin Cash,2018-09-13,432.0767
Bitcoin Cash,2018-09-14,464.165
Bitcoin Cash,2018-09-15,446.84
Bitcoin Cash,2018-09-16,448.15
Bitcoin Cash,2018-09-17,450.7767
Bitcoin Cash,2018-09-18,417.256
Bitcoin Cash,2018-09-19,432.79
Bitcoin Cash,2018-09-20,429.7833
Bitcoin Cash,2018-09-21,456.3725
Bitcoin Cash,2018-09-22,502.1775
Bitcoin Cash,2018-09-23,485.17
Bitcoin Cash,2018-09-24,489.7075
Bitcoin Cash,2018-09-25,461.49
Bitcoin Cash,2018-09-26,446.09
Bitcoin Cash,2018-09-27,513.9125
Bitcoin Cash,2018-09-28,566.9867
Bitcoin Cash,2018-09-29,537.0125
Bitcoin Cash,2018-09-30,537.395
Bitcoin Cash,2018-10-01,531.9233
Bitcoin Cash,2018-10-02,532.43
Bitcoin Cash,2018-10-03,529.7775
Bitcoin Cash,2018-10-04,515.92
Bitcoin Cash,2018-10-05,513.47
Bitcoin Cash,2018-10-06,520.56
Bitcoin Cash,2018-10-07,509.045
Bitcoin Cash,2018-10-08,520.395
Bitcoin Cash,2018-10-09,528.714
Bitcoin Cash,2018-10-10,518.7067
Bitcoin Cash,2018-10-11,514.01
Bitcoin Cash,2018-10-12,429.584
Bitcoin Cash,2018-10-13,440.54
Bitcoin Cash,2018-10-14,450.1133
Bitcoin Cash,2018-10-15,435.738
Bitcoin Cash,2018-10-16,458.625
Bitcoin Cash,2018-10-17,457.606
Bitcoin Cash,2018-10-18,449.284
Bitcoin Cash,2018-10-19,441.5233
Bitcoin Cash,2018-10-20,441.19
Bitcoin Cash,2018-10-21,449.14
Bitcoin Cash,2018-10-22,448.37
Bitcoin Cash,2018-10-23,450.635
Bitcoin Cash,2018-10-24,445.5867
Bitcoin Cash,2018-10-25,444.2733
Bitcoin Cash,2018-10-26,441.04
Bitcoin Cash,2018-10-27,441.0633
Bitcoin Cash,2018-10-28,437.445
Bitcoin Cash,2018-10-29,439.555
Bitcoin Cash,2018-10-30,414.9633
Bitcoin Cash,2018-10-31,421.3
Bitcoin Cash,2018-11-01,426.4567
Bitcoin Cash,2018-11-02,424.4867
Bitcoin Cash,2018-11-03,462.845
Bitcoin Cash,2018-11-04,479.115
Bitcoin Cash,2018-11-05,568.376
Bitcoin Cash,2018-11-06,560.825
Bitcoin Cash,2018-11-07,630.378
Bitcoin Cash,2018-11-08,616.37
Bitcoin Cash,2018-11-09,575.3475
Bitcoin Cash,2018-11-10,542.9325
Bitcoin Cash,2018-11-11,553.74
Bitcoin Cash,2018-11-12,534.0125
Bitcoin Cash,2018-11-13,517.05
Bitcoin Cash,2018-11-14,511.6925
Bitcoin Cash,2018-11-15,439.2125
Bitcoin Cash,2018-11-16,379.64
Bitcoin Cash,2018-11-17,326.18
Bitcoin Cash,2018-11-18,393.54
Bitcoin Cash,2018-11-19,313.395
